,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,image_url
0,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49.0,5120.0,70.0,318.0,45,Seed Pokémon,49.0,1059860.0,0.7,45.0,Bulbasaur,88.1,1.0,65.0,65.0,45.0,grass,poison,6.9,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
1,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62.0,5120.0,70.0,405.0,45,Seed Pokémon,63.0,1059860.0,1.0,60.0,Ivysaur,88.1,2.0,80.0,80.0,60.0,grass,poison,13.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
2,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100.0,5120.0,70.0,625.0,45,Seed Pokémon,123.0,1059860.0,2.0,80.0,Venusaur,88.1,3.0,122.0,120.0,80.0,grass,poison,100.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
3,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52.0,5120.0,70.0,309.0,45,Lizard Pokémon,43.0,1059860.0,0.6,39.0,Charmander,88.1,4.0,60.0,50.0,65.0,fire,,8.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
4,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64.0,5120.0,70.0,405.0,45,Flame Pokémon,58.0,1059860.0,1.1,58.0,Charmeleon,88.1,5.0,80.0,65.0,80.0,fire,,19.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
5,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,45,Flame Pokémon,78.0,1059860.0,1.7,78.0,Charizard,88.1,6.0,159.0,115.0,100.0,fire,flying,90.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
6,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48.0,5120.0,70.0,314.0,45,Tiny Turtle Pokémon,65.0,1059860.0,0.5,44.0,Squirtle,88.1,7.0,50.0,64.0,43.0,water,,9.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
7,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63.0,5120.0,70.0,405.0,45,Turtle Pokémon,80.0,1059860.0,1.0,59.0,Wartortle,88.1,8.0,65.0,80.0,58.0,water,,22.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
8,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103.0,5120.0,70.0,630.0,45,Shellfish Pokémon,120.0,1059860.0,1.6,79.0,Blastoise,88.1,9.0,135.0,115.0,78.0,water,,85.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
9,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840.0,70.0,195.0,255,Worm Pokémon,35.0,1000000.0,0.3,45.0,Caterpie,50.0,10.0,20.0,20.0,45.0,bug,,2.9,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
10,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840.0,70.0,205.0,120,Cocoon Pokémon,55.0,1000000.0,0.7,50.0,Metapod,50.0,11.0,25.0,25.0,30.0,bug,,9.9,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
11,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840.0,70.0,395.0,45,Butterfly Pokémon,50.0,1000000.0,1.1,60.0,Butterfree,50.0,12.0,90.0,80.0,70.0,bug,flying,32.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
12,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840.0,70.0,195.0,255,Hairy Pokémon,30.0,1000000.0,0.3,40.0,Weedle,50.0,13.0,20.0,20.0,50.0,bug,poison,3.2,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
13,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840.0,70.0,205.0,120,Cocoon Pokémon,50.0,1000000.0,0.6,45.0,Kakuna,50.0,14.0,25.0,25.0,35.0,bug,poison,10.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
14,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,45,Poison Bee Pokémon,40.0,1000000.0,1.0,65.0,Beedrill,50.0,15.0,15.0,80.0,145.0,bug,poison,29.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
15,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840.0,70.0,251.0,255,Tiny Bird Pokémon,40.0,1059860.0,0.3,40.0,Pidgey,50.0,16.0,35.0,35.0,56.0,normal,flying,1.8,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
16,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,349.0,120,Bird Pokémon,55.0,1059860.0,1.1,63.0,Pidgeotto,50.0,17.0,50.0,50.0,71.0,normal,flying,30.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
17,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,45,Bird Pokémon,80.0,1059860.0,1.5,83.0,Pidgeot,50.0,18.0,135.0,80.0,121.0,normal,flying,39.5,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840.0,70.0,253.0,255,Mouse Pokémon,35.0,1000000.0,,30.0,Rattata,50.0,19.0,25.0,35.0,72.0,normal,dark,,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,3840.0,70.0,413.0,127,Mouse Pokémon,70.0,1000000.0,,75.0,Raticate,50.0,20.0,40.0,80.0,77.0,normal,dark,,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,262.0,255,Tiny Bird Pokémon,30.0,1000000.0,0.3,40.0,Spearow,50.0,21.0,31.0,31.0,70.0,normal,flying,2.0,1.0,0.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
